titre_du_poste,compagnie,date_publication,ville,domaine,specialité,diplome_requis,annee_experience,type_contrat,competences,source_url
Directeur ou Directrice de projet national.e,DID - Relance des MPME haïtiennes,8 Jan 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion de Projets,Licence,8.0,CDD,"['Coordination de projets', 'Gestion d’une équipe multidisciplinaire', 'Connaissance des enjeux liés au développement', 'Communication interpersonnelle', 'Capacité d’influence et de négociation']",https://jobpaw.com/professionals/job-details?idj=16838
Maintenance Manager for Facilities and Biomedical,Zanmi Lasante/PIH,8 Jan 2025,Port-au-Prince,Sciences de l’Ingénieur,Génie Electromécanique,Licence,5.0,CDI,"['Bachelor’s degree in mechanical, electrical, or industrial engineering, facilities management, or a related field.', 'Minimum of 5 years of relevant experience in facilities maintenance or equipment repair.', 'Experience managing multiple sites or large, multi-building campuses is strongly preferred.', 'Healthcare setting experience is preferred.', 'Familiarity with low-resource environments.']",https://jobpaw.com/professionals/job-details?idj=16839
Chargée des Activités Institutionnelles du NO,Médecins du Monde Canada,8 Jan 2025,Port-de-Paix,Santé et Professions médicales,Sciences Infirmières,Licence,5.0,CDD,"['Rédiger des rapports synthétiques en français et en créole', 'Sens des relations humaines', 'Capacité à planifier, organiser et prioriser des actions', 'Coordination d’équipe et d’activités', 'Suivi et évaluation d’activités']",https://jobpaw.com/professionals/job-details?idj=16840
Chargé (e) de compte,ESG Group S.A.,9 Jan 2025,Port-au-Prince,Marketing,Ventes,Licence,2.0,CDI,"['Connaissance en word et excel et capacité à établir des rapports', 'Bonne capacité de communication et sens du relationnel', 'Sens aigu du service client.', 'Organisation et rigueur.', 'Proactivité et esprit d’équipe.']",https://jobpaw.com/professionals/job-details?idj=16841
Ingénieur Mécanique,Arômes des Caraïbes S.A.,8 Jan 2025,Port-au-Prince,Sciences de l’Ingénieur,Génie Electromécanique,Licence,7.0,CDI,"['Conception et développement de systèmes et composants électromécaniques', ""Réalisation d'études de faisabilité pour de nouveaux concepts de produits"", 'Développement et exécution de protocoles de test', 'Analyse des résultats des tests', 'Choix des équipements électriques adaptés aux projets mécaniques']",https://jobpaw.com/professionals/job-details?idj=16842
Responsable de liaisons communautaires,HELVETAS Swiss Intercooperation/Haiti,8 Jan 2025,Belle-Anse,Sciences Humaines et Sociales,Sciences Sociales,Licence,5.0,CDD,"['Bonne connaissance et expérience en gestion des ressources naturelles', 'Résilience climatique', 'Renforcement des capacités d’acteurs locaux', 'Connaissance et expérience en passation de marchés', 'Bonne maîtrise des approches et méthodologies participatives']",https://jobpaw.com/professionals/job-details?idj=16843
Conseiller(ère) en administration de la justice,Chemonics/Programme de Renouvellement et d'Avancement de la Justice,14 Jan 2025,Pétion-ville,Droit,Droit,Licence,10.0,CDI,"['Excellentes compétences en communication', 'Relations interpersonnelles', ""Maintenir d'excellentes relations avec les homologues haïtiens sur le terrain"", ""Conception et/ou mise en œuvre du suivi et de l'évaluation des programmes"", 'Familiarité avec les programmes USAID']",https://jobpaw.com/professionals/job-details?idj=16844
Spécialiste régional(e) en administration de la justice (poste basé à Cap-Haïtien et Les Cayes),Chemonics/Programme de Renouvellement et d'Avancement de la Justice,14 Jan 2025,Port-au-Prince,Droit,Administration judiciaire,Licence,7.0,CDI,"['Expérience de travail dans les tribunaux en Haïti', 'Familiarité avec les institutions et les problèmes du secteur de la justice', 'Expérience de travail dans des tribunaux en dehors de Port-au-Prince', 'Expérience de travail dans des programmes internationaux pour soutenir le secteur de la justice', ""Maîtrise de l'anglais et du français, à l'oral et à l'écrit""]",https://jobpaw.com/professionals/job-details?idj=16845
Coordinateur régional (poste basé à Cap-Haïtien et Les Cayes),Chemonics/Programme de Renouvellement et d'Avancement de la Justice,14 Jan 2025,Cap-Haitien; Cayes,Droit,Administration judiciaire,Licence,,CDI,"[""Contribution à la conception et/ou à la mise en œuvre de programmes de suivi et d'évaluation"", 'Familiarité avec les institutions et les questions relatives au secteur de la justice', ""Familiarité avec les programmes, objectifs, exigences de rapport de l'USAID"", ""Maîtrise de l'anglais et du français, à l'oral et à l'écrit"", None]",https://jobpaw.com/professionals/job-details?idj=16848
Conseiller en éducation juridique,Chemonics/Programme de Renouvellement et d'Avancement de la Justice,14 Jan 2025,Zone Petion-Ville,Droit,Droit,Licence,,CDI,"[""Conception et mise en œuvre de programmes de suivi et d'évaluation"", 'Familiarité avec les institutions et les questions relatives au secteur de la justice', ""Familiarité avec les programmes, objectifs et exigences de l'USAID"", ""Maîtrise de l'anglais et du français"", None]",https://jobpaw.com/professionals/job-details?idj=16849
Conseiller en communication stratégique,Chemonics/Programme de Renouvellement et d'Avancement de la Justice,14 Jan 2025,Petion-Ville,Communication et Journalisme,Communication,Licence,5.0,CDI,"['Diplôme de licence dans un domaine pertinent requis', ""Minimum de cinq (5) ans d'expérience en communication stratégique requis"", ""Expérience de travail pour des projets financés par l'USAID ou d'autres donateurs fortement préférés"", ""Expérience avérée de travail efficace avec divers acteurs de l'industrie"", ""Maîtrise du français, du créole haïtien et de l'anglais, à l'oral et à l'écrit""]",https://jobpaw.com/professionals/job-details?idj=16850
Officier de Capital Social (Superviseur départemental),Heifer International Haiti,11 Jan 2025,,Agriculture – Agroalimentaire,Agronomie,Non précisé,3.0,CDI,"['Expérience avérée en intégration des principes de genre et de capital social dans des projets de développement', 'Excellentes aptitudes en mobilisation communautaire', 'Gestion et encadrement de personnes sur le terrain', 'Capacités en planification, gestion du temps', 'Suivi-évaluation']",https://jobpaw.com/professionals/job-details?idj=16851
Infirmiere Communautaire,Catholic Medical Mission Board,10 Jan 2025,Port-au-Prince,Santé et Professions médicales,Sciences Infirmières,Master,3.0,CDI,"['Higher Nursing degree', 'Teaching experience', 'Current clinical practice as a community nurse', 'Experience in the care of patients affected by HIV/AIDS', 'Excellent French and creole language oral and written communication skills']",https://jobpaw.com/professionals/job-details?idj=16852
Médecin Mentor,Centre Haitien pour le Renforcement du Système de Santé,10 Jan 2025,Port-au-Prince,Santé et Professions médicales,Pédiatrie,Doctorat,3.0,CDI,"['Compétences en développement de programmes d’études, en mettant l’accent sur des méthodes d’apprentissage interactives et participatives', ""Connaissance des processus d'amélioration de la qualité"", 'Compétence en rédaction de rapports', 'Excellentes compétences analytiques et organisationnelles', 'Leadership, communication, esprit d’équipe et compétences en résolution de problèmes éprouvées']",https://jobpaw.com/professionals/job-details?idj=16853
Officier Gestion Patrimoine et Logistique,CARE Haiti,10 Jan 2025,Petion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,2.0,CDI,"['Avoir un diplôme universitaire ou une expérience équivalente en administration générale et/ou en gestion, en logistique ou un domaine similaire', ""Avoir 2 années d'expérience dans la gestion administrative générale ; en logistique, ou un poste similaire"", 'Compétences en informatique (maîtrise des logiciels Word, Excel…) ;', 'Capacité de travailler sous pression et dans les délais impartis', 'Capacité à présenter des rapports narratifs et chiffrés']",https://jobpaw.com/professionals/job-details?idj=16854
Coordonnateur des Ventes,REBO S.A.,11 Jan 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Commerce,Licence,,CDI,"['Bonne connaissance du terrain', 'Excellentes aptitudes d’organisation logistique', 'Compétences en communication', 'Relations interpersonnelles', 'Capacité à diriger une équipe de façon participative']",https://jobpaw.com/professionals/job-details?idj=16855
Un (e) Chargé (e) des passations de marché,WeltHungerHilfe (Agro Action Allemande),11 Jan 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Passation de Marchés / Procurement,Licence,5.0,CDI,"['Bonnes compétences de communication orale et écrite en français', 'Connaissance de l’anglais', 'Bonne connaissance de MS Office et des bases de données', 'Bonne connaissance des techniques d’organisation et d’optimisation de bureau', 'Excellentes capacités polyvalentes et de gestion du temps']",https://jobpaw.com/professionals/job-details?idj=16856
Logisticien de Base du Nord Ouest,Médecins du Monde Canada,13 Jan 2025,Port-de-Paix,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,2.0,CDI,"['Maitrise de l’outil informatique', 'Excellentes compétences rédactionnelles en français', 'Sens de l’organisation', 'Dynamique, autonome, rigoureux', 'Capacité travailler en équipe']",https://jobpaw.com/professionals/job-details?idj=16857
Comptable de Base du NO,Médecins du Monde Canada,13 Jan 2025,Port-de-Paix,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,5.0,CDI,"['Maitrise de Microsoft Word et Excel', 'Maitrise du français et du créole', 'Bonne capacité de communication', ""Bonne capacité d'organisation"", 'Capable de travailler en équipe']",https://jobpaw.com/professionals/job-details?idj=16858
Program Officer,Research Triangle Institute / Act to End NTDs Project,14 Jan 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion de Projets,Master,3.0,CDI,"['Implementation of community-based programs', 'Managing M&E activities', 'Field experience in targeted districts', 'Program and Administrative experience', 'Excellent oral and written communication skills in English']",https://jobpaw.com/professionals/job-details?idj=16859
Receptioniste - Data entry,Metallo Prefab S.A.,16 Jan 2025,Port-au-Prince,Secrétariat,Assistante Administrative,Non précisé,1.0,CDI,"['Connaissance informatique', 'Excellentes compétences organisationnelles', 'Attention aux détails', 'Maîtrise de Microsoft Office', 'Capacité à gérer plusieurs tâches']",https://jobpaw.com/professionals/job-details?idj=16860
Procurment Officer,International Rescue Committee,14 Jan 2025,Petion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Passation de Marchés / Procurement,Licence,2.0,CDD,"[""Connaissance des procédures et pratiques d'approvisionnement"", ""Succès avéré en tant que responsable des achats au sein de la chaîne d'approvisionnement"", 'Solides compétences en matière de négociation', ""Excellentes compétences en matière d'analyse de marché"", 'Capacité à travailler efficacement dans une structure fortement matricielle']",https://jobpaw.com/professionals/job-details?idj=16861
MEAL Manager,International Rescue Committee,14 Jan 2025,Petion-Ville,Sciences Humaines et Sociales,Sciences du Développement,Non précisé,3.0,CDI,"['Mise en place de processus MEAL de qualité', 'Création de cadres logiques', 'Analyses de données', 'Utilisation de logiciels de collecte de données mobiles', 'Maîtrise de Microsoft Excel']",https://jobpaw.com/professionals/job-details?idj=16862
Infirmiere Clinicienne,"Institut pour la Sante, la Population et le Développement",14 Jan 2025,Cap-Haitien,Santé et Professions médicales,Sciences Infirmières,Licence,,CDI,"['Capacité à travailler en milieu institutionnel et en milieu communautaire', 'Disponibilité immédiate et à plein temps', 'Capacité de travailler sous pression et en équipe', ""Sens de l'organisation"", 'Bonnes capacités de communication']",https://jobpaw.com/professionals/job-details?idj=16863
Responsable de la Sécurité,Chemonics/Programme de Renouvellement et d'Avancement de la Justice,15 Jan 2025,Port-au-Prince,Sécurité,Sécurité,Non précisé,5.0,CDI,"['Diplôme universitaire dans un domaine ou une discipline pertinente de préférence.', ""Au moins 5 ans d'expérience dans des rôles de gestion et de supervision de la sécurité dans des zones à haut risque en Haiti."", 'Efficacité avérée dans la mise en œuvre de plates-formes de sécurité pour les opérations civiles dans les zones de conflit.', 'Connaissance et réseaux dans les zones cibles du projet.', 'Capacité avérée à résoudre des problèmes dans des environnements à haut risque.']",https://jobpaw.com/professionals/job-details?idj=16864
